Ticker,Company,Shares,Price,Avg_Price,PL,FX_Impact,Tier,Value,Currency,PL_Per_Share_GBP,PL_Per_Share_Pct,Weight
RE,"Everest Group, Ltd.",66.95260406,330.07,333.79806975,-872.07,-689.97,2,16122.1,USD,-3.7280697500000315,-1.1168637831825063,11.40754199278942
NUE,Nucor Corporation,119.1502945,177.67,142.75373864,2871.04,-164.05,2,15443.91,USD,34.91626135999999,24.459087161319612,10.927673929442221
CNNE,"Cannae Holdings, Inc.",1406.16463623,14.36,15.77239921,-1767.48,-318.57,2,14731.22,USD,-1.4123992100000002,-8.954878653493074,10.423394641828258
CRM,"Salesforce, Inc.",92.0,212.45,242.96684783,-2296.62,-248.4,2,14259.12,USD,-30.516847830000017,-12.56008714874227,10.089350033818391
EOG,"EOG Resources, Inc.",167.83705587,110.59,114.00211891,-726.14,-308.35,2,13541.03,USD,-3.4121189099999896,-2.9930311318982743,9.58124985892789
QCOM,QUALCOMM Incorporated,108.0,151.74,168.85388889,-1547.14,-198.73,2,11955.61,USD,-17.11388889,-10.13532409736139,8.45945150597088
NFLX,"Netflix, Inc.",190.0,83.38,92.46947368,-1565.13,-305.22,2,11557.49,USD,-9.089473679999998,-9.829701974356473,8.177753053649575
CTVA,"Corteva, Inc.",175.0,72.49,69.24154286,219.34,-195.39,2,9254.74,USD,3.2484571399999993,4.691485784145624,6.54839228030765
BMY,Bristol-Myers Squibb Company,190.0,54.79,50.57,437.44,-147.5,2,7594.57,USD,4.219999999999999,8.344868499110142,5.373702941439313
RIOl_EQ,RIO TINTO PLC ORD 10P,102.36965673,6738.0,4576.67501255,2212.55,0.0,2,6897.67,GBX,2161.3249874499998,47.22478614984217,4.880596211250631
SOLV,Solventum Corporation,100.0,75.94,80.4473,-437.73,-108.91,2,5540.11,USD,-4.507300000000001,-5.6027983537048485,3.9200251499291405
DHR,Danaher Corporation,30.0,218.14,218.2,13.27,14.58,2,4774.24,USD,-0.060000000000002274,-0.027497708524290683,3.378117198358462
BATSl_EQ,BRITISH AMERICAN TOBACCO PLC OR,100.0,4376.0,4202.7249,173.28,0.0,2,4376.0,GBX,173.27509999999984,4.122922725682089,3.096333837431011
LGENl_EQ,LEGAL & GENERAL GROUP PLC ORD 2,1000.0,265.1,259.8,53.0,0.0,2,2651.0,GBX,5.300000000000011,2.040030792917633,1.87577262409269
VSNTV,"Versant Media Group, Inc.",111.0,32.47,33.25963964,-129.49,-65.55,2,2629.38,USD,-0.7896396400000043,-2.37416775571536,1.8604749235521827
QELL,Qell Acquisition Corp.,275.36311,0.0012,1.02294022,-216.62,-11.36,2,0.24,USD,-1.0217402199999999,-99.88269109215395,0.00016981721229054905
